Description,Scientific Name,Common Name,Taxid,Query Cover,E value,Per. ident,Acc. Len,Accession  
acetylxylan esterase [Anaerolineae bacterium],Anaerolineae bacterium,NA,2052143,99%,4e-139,62.15,324,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBZ0296477.1?report=genbank&log$=prottop&blast_rank=94&RID=1ZUW7R8T013"",""MBZ0296477.1"")"
acetylxylan esterase [Chloroflexi bacterium],Chloroflexi bacterium,NA,2026724,100%,3e-138,61.85,326,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/TMC57946.1?report=genbank&log$=prottop&blast_rank=95&RID=1ZUW7R8T013"",""TMC57946.1"")"
acetylxylan esterase [Anaerolineales bacterium],Anaerolineales bacterium,NA,2073117,99%,1e-135,61.80,323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBK8824875.1?report=genbank&log$=prottop&blast_rank=96&RID=1ZUW7R8T013"",""MBK8824875.1"")"
acetylxylan esterase [Chloroflexi bacterium],Chloroflexi bacterium,NA,2026724,99%,1e-135,61.49,327,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NWG22006.1?report=genbank&log$=prottop&blast_rank=97&RID=1ZUW7R8T013"",""NWG22006.1"")"
acetylxylan esterase [Anaerolineaceae bacterium],Anaerolineaceae bacterium,NA,2024896,99%,2e-136,61.30,323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBN1372565.1?report=genbank&log$=prottop&blast_rank=98&RID=1ZUW7R8T013"",""MBN1372565.1"")"
acetylxylan esterase [Thermoflexales bacterium],Thermoflexales bacterium,NA,2497639,98%,6e-136,60.94,323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBN1890395.1?report=genbank&log$=prottop&blast_rank=99&RID=1ZUW7R8T013"",""MBN1890395.1"")"
acetylxylan esterase [Chloroflexi bacterium],Chloroflexi bacterium,NA,2026724,99%,1e-135,60.37,323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBU6360850.1?report=genbank&log$=prottop&blast_rank=100&RID=1ZUW7R8T013"",""MBU6360850.1"")"



		


