Description,Scientific Name,Common Name,Taxid,Query Cover,E value,Per. ident,Acc. Len,Accession  
ABC transporter ATP-binding protein [Candidatus Bipolaricaulota bacterium],Candidatus Bipolaricaulota bacterium,NA,2306012,99%,2e-143,65.42,348,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBC7098525.1?report=genbank&log$=prottop&blast_rank=92&RID=1ZVADM9B013"",""MBC7098525.1"")"
ABC transporter ATP-binding protein [Dictyoglomus thermophilum],Dictyoglomus thermophilum,NA,14,99%,3e-143,64.35,324,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_149122334.1?report=genbank&log$=prottop&blast_rank=93&RID=1ZVADM9B013"",""WP_149122334.1"")"
TPA: ABC transporter ATP-binding protein [Thermotogaceae bacterium],Thermotogaceae bacterium,NA,2268206,99%,3e-143,64.04,322,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HEW93026.1?report=genbank&log$=prottop&blast_rank=94&RID=1ZVADM9B013"",""HEW93026.1"")"
TPA: ABC transporter ATP-binding protein [Candidatus Caldatribacterium californiense],Candidatus Caldatribacterium californiense,NA,1454726,98%,4e-143,66.88,317,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HGI30987.1?report=genbank&log$=prottop&blast_rank=95&RID=1ZVADM9B013"",""HGI30987.1"")"
TPA: ABC transporter ATP-binding protein [Firmicutes bacterium],Firmicutes bacterium,NA,1879010,99%,4e-143,62.19,330,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HHT90961.1?report=genbank&log$=prottop&blast_rank=96&RID=1ZVADM9B013"",""HHT90961.1"")"
TPA: ABC transporter ATP-binding protein [Caldilineae bacterium],Caldilineae bacterium,NA,2420332,99%,5e-143,62.15,318,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HEY64753.1?report=genbank&log$=prottop&blast_rank=97&RID=1ZVADM9B013"",""HEY64753.1"")"
TPA: ABC transporter ATP-binding protein [Dictyoglomus turgidum],Dictyoglomus turgidum,NA,513050,99%,5e-143,64.98,317,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HGB31409.1?report=genbank&log$=prottop&blast_rank=98&RID=1ZVADM9B013"",""HGB31409.1"")"
TPA: ABC transporter ATP-binding protein [Candidatus Caldatribacterium californiense],Candidatus Caldatribacterium californiense,NA,1454726,98%,6e-143,66.88,317,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HGI29881.1?report=genbank&log$=prottop&blast_rank=99&RID=1ZVADM9B013"",""HGI29881.1"")"
ABC transporter ATP-binding protein [Firmicutes bacterium],Firmicutes bacterium,NA,1879010,99%,6e-143,62.89,325,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NLM38837.1?report=genbank&log$=prottop&blast_rank=100&RID=1ZVADM9B013"",""NLM38837.1"")"



		


